CIK,Company,State/Country
0001005126,"COMMONWEALTH BANCORP INCSIC:6036- SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",PA
0001005136,COMMONWEALTH CAPITAL SECURITIES CORP.,FL
0001005162,FIRST ALLIANCE MORTGAGE LOAN TRUST 1995-2SIC:6189- ASSET-BACKED SECURITIES,CA
0001005383,MONARCH FUND LP,NY
0001005663,"EURO GROUP OF COMPANIES, INC.SIC:5990- RETAIL-RETAIL STORES, NECformerly: ICT TECHNOLOGIES INC (filings through 2007-11-05)",NY
0001005709,ASIA ENERGY LTD,
0001005945,"LIM, INCformerly: LIM INC                                                 /BD (filings through 2005-04-01)",FL
0001006199,PIPER &amp; MARBURY /MD/ FA,MD
0001006216,GOLDMAN ALFRED E,MO
0001006820,NORTHERN CALIFORNIA BANCORP INCSIC:6022- STATE COMMERCIAL BANKS,CA
0001007024,HALCYON ASSET MANAGEMENT LLCformerly: HALCYON MANAGEMENT CO LLC (filings through 2004-11-10)HALCYON SLIFKA ALAN B MANAGEMENT CO LLC (filings through 2004-05-19),NY
0001007496,HARVEST CAPITAL INVESTMENTS LLC,VA
0001007801,WESTPORT BANK &amp; TRUST CO,CT
0001008000,FIRST ALBANY COMPANIES INC STOCK BONUS PLAN,NY
0001008516,PEMBERTON ROBERT A,MA
0001008861,HYNIX SEMICONDUCTOR AMERICA INCformerly: HYUNDAI ELECTRONICS AMERICA (filings through 2001-02-14),CA
0001009008,NORTHERN ASSET MANAGEMENT INC /MNformerly: NORTHERN ASSET MANAGEMENT INC/MN (filings through 1998-09-10),MN
0001009863,INDEPENDENCE BREWING COSIC:2082- MALT BEVERAGES,PA
0001009900,MONARCH DENTAL CORPSIC:8000- SERVICES-HEALTH SERVICES,TX
0001009953,"GUGGENHEIM SECURITIES, LLCformerly: GUGGENHEIM CAPITAL MARKETS, LLC (filings through 2008-02-29)LINKS SECURITIES LLC (filings through 2003-03-04)LINKS SECURITIES LLC                                    /BD (filings through 2002-03-04)",NY
0001010236,BAYVIEW INVESTORS LTD,CA
0001010446,"OPUS CAPITAL GROUP, LLC",OH
0001010589,NORTHERN CAPITAL SECURITIES CORPORATIONformerly: NORTHERN CAPITAL SECURITIES CORP (filings through 2002-01-14),MA
0001010672,RAMIUS HALIFAX PARTNERS L P,NY
0001010801,"CHILTON &amp; ASSOCIATES, INC.",CA
0001011053,PINE DAVID G,CA
0001011061,RAM CAPITAL LP,NY
0001011192,GOLDMAN BRUCE,IL
0001012084,PALO ALTO INVESTORS,CA
0001012430,NOMURA ASSET SECURITIES COR HOM EQ LN PASS TH CER SER 1995-2,NY
0001012439,NOMURA ASSET SECURITIES COR COM MORT PASS TH CER SR 1996 MDVSIC:6189- ASSET-BACKED SECURITIES,NY
0001012614,PARKER &amp; PARSLEY 91 B LP,TX
0001012615,PARKER &amp; PARSLEY 90 B CONV LP,TX
0001012873,JOHN THOMAS FINANCIALformerly: GOTHAM LAWRENCE CORP (filings through 2002-08-30)GOTHAM LAWRENCE CORPORATION (filings through 2006-07-28),NY
0001013021,COINMACH LAUNDRY CORPSIC:3590- MISC INDUSTRIAL &amp; COMMERCIAL MACHINERY &amp; EQUIPMENT,NY
0001013340,RA PARTNERSHIP,CA
0001013542,RA CAPITAL ADVISORS LLCformerly: BATCHELDER &amp; PARTNERS INC                               /BD (filings through 2002-02-28)RELATIONAL ADVISORS LLC (filings through 2005-02-28),CA
0001013554,"PARK BANCORP INCSIC:6035- SAVINGS INSTITUTION, FEDERALLY CHARTERED",IL
0001013784,COREY H ALLEN,TX
0001014149,CHILTON JOHN B,NY
0001014378,RAMIUS HALIFAX OVERSEAS FUND LTD,E9
0001014478,VERTICAL FUND I LPformerly: VERTICAL FUND ASSOCIATES L P (filings through 2001-09-12),NJ
0001014927,"OMEGA CAPITAL PARTNERS, L.P.formerly: OMEGA CAPITAL PARTNERS LP (filings through 2010-03-15)",NY
0001015083,EMERALD ADVISERS INC/PA,PA
0001015429,VIRTUS PHOLIOsformerly: PHOENIX ABERDEEN SERIES FUND (filings through 2003-05-16)PHOENIX PARTNER SELECT FUNDS (filings through 2005-05-11)PHOENIX PHOLIOs (filings through 2008-09-26),MA
0001015710,PARK BROADCASTING INCSIC:2711- NEWSPAPERS:  PUBLISHING OR PUBLISHING &amp; PRINTING,KY
0001015717,PHASE METRICS INCSIC:3572- COMPUTER STORAGE DEVICES,CA
0001016076,WESTERN ACQUISITION PARTNERS L P,DC
0001016222,QUINN DAVID W,
0001016754,QUINN JAMES E,
0001016818,HENDERSON GERALD E,CO
0001017018,FIRST ALLIANCE MORTGAGE LOAN TRUST 1996-2SIC:6189- ASSET-BACKED SECURITIES,CA
0001017209,CAIRNS MYLES,
0001017309,"FIRST ALLEN PARISH BANCORP INCSIC:6035- SAVINGS INSTITUTION, FEDERALLY CHARTERED",LA
0001017476,FIRST ALLIANCE MORTGAGE LOAN TRUST 1996 1SIC:6189- ASSET-BACKED SECURITIES,CA
0001017543,TWIN LABORATORIES INCSIC:2833- MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS,NY
0001017663,MARSHALL CHARLES,IL
0001017907,"FIRST ACCEPTANCE CORP /DE/SIC:6331- FIRE, MARINE &amp; CASUALTY INSURANCEformerly: LIBERTE INVESTORS INC (filings through 2004-05-04)",TN
0001018328,HUTCHINS WINSTON,
0001018593,VIRTUS ASSET TRUSTformerly: KAYNE ANDERSON MUTUAL FUNDS (filings through 2001-02-16)KAYNE ANDERSON RUDNICK MUTUAL FUNDS (filings through 2002-09-23)PHOENIX ASSET TRUST (filings through 2008-08-28)PHOENIX-KAYNE FUNDS (filings through 2006-05-22),MA
0001018594,OPUS ACQUISITION CORP,NC
0001019950,"WESTPORT CAPITAL MARKETS, LLCformerly: WESTPORT CAPITAL MARKETS LLC                            /BD (filings through 2002-08-28)",CT
0001020161,WESTERN &amp; CARIBBEAN CELLULAR INCSIC:4812- RADIO TELEPHONE COMMUNICATIONSformerly: OCCIDENTE Y CARIBE CELULAR S A (filings through 1996-11-13),
0001020191,WESTERN AQUISITION PARTNERS L,IL
0001020506,FULCRUM SEPARATE ACCOUNT OF COMMONWEALTH ANNUITY &amp; LIFE INSURANCE COformerly: FULCRUM SEPARATE ACCOUNT ALLMERICA FIN LIFE INS &amp; ANNUITY CO (filings through 2006-09-07),MA
0001021148,FULCRUM SEPARATE ACCOUNT OF FIRST ALLMERICA FIN LIFE INS CO,MA
0001021223,KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLCformerly: KAYNE ANDERSON INVESTMENT MANAGEMENT LLC (filings through 2001-02-14),CA
0001021578,OMEGA BANK N A,PA
0001021968,PREMIUM STANDARD FARMS INC /NEWSIC:2011- MEAT PACKING PLANTS,MO
0001022174,"FULCRUM FUND LIMITED PARTNERSHIPSIC:6799- INVESTORS, NECformerly: DENNIS FUND LTD PARTNERSHIP (filings through 2000-10-11)",CT
0001022794,"OLD GUARD GROUP INCSIC:6331- FIRE, MARINE &amp; CASUALTY INSURANCE",PA
0001022820,WCH INCSIC:7011- HOTELS &amp; MOTELSformerly: CANDLEWOOD HOTEL CO INC (filings through 2004-01-08),KS
0001022877,HENDERSON GEORGE W III,
0001022882,PETERS CHARLES E JR,
0001023006,FIRST ALLIANCE MORTGAGE LOAN TRUST 1996-3SIC:6189- ASSET-BACKED SECURITIES,CA
0001023197,FULCRUM VARIABLE LIFE SEP ACCT OF COMMONWEALTH ANNUITY &amp; LIFE INSURANCE COformerly: FULCRUM SEPARATE ACCOUNT OF ALLMERICA FIN LIFE INS &amp; ANN CO (filings through 1997-06-04)FULCRUM VARIABLE LIFE SEP ACCT OF ALLMERICA FIN LIFE INS &amp;AN (filings through 2006-03-28),MA
0001023298,alpha-En CorpSIC:7819- SERVICES-ALLIED TO MOTION PICTURE PRODUCTIONformerly: AVENUE ENTERTAINMENT GROUP INC (filings through 1997-10-10)AVENUE ENTERTAINMENT GROUP INC /DE/ (filings through 2008-12-11)CINEMASTERS GROUP INC (filings through 1997-04-10),NY
0001023441,SANDLER HERMAN S,NY
0001023845,FORMULAB NEURONETICS CORP LTDSIC:7372- SERVICES-PREPACKAGED SOFTWARE,C3
0001024163,OPUS CAPITAL FUND LLC,CO
0001025890,ORBIS ASSET MANAGEMENT LTD,D0
0001026420,STRATEGIC ADVISERS INC,MA
0001026662,EURO TECH HOLDINGS CO LTDSIC:5040- WHOLESALE-PROFESSIONAL &amp; COMMERCIAL EQUIPMENT &amp; SUPPLIES,K3
0001027038,HUTCHINS GLENN H,
0001027484,"Carrier Alliance Holdings, Inc.SIC:5531- RETAIL-AUTO &amp; HOME SUPPLY STORESformerly: TILDEN ASSOCIATES INC (filings through 2012-03-30)",NY
0001027763,PHARMASYSTEMS HOLDINGS CORPSIC:6770- BLANK CHECKSformerly: EURO TEL INC (filings through 1997-07-07),FL
0001028115,"RDCL, Inc.SIC:2731- BOOKS: PUBLISHING OR PUBLISHING AND PRINTINGformerly: COMPASSLEARNING INC (filings through 2008-06-27)JLC LEARNING CORP (filings through 2000-02-03)",NY
0001028448,PIPER JAFFRAY HEALTHCARE FUND II L P,MN
0001028818,GREAT AMERICAN MERCHANDISING GROUP INCSIC:4832- RADIO BROADCASTING STATIONS,KY
0001029321,FIRST ALLIANCE CORP /DE/SIC:6189- ASSET-BACKED SECURITIES,CA
0001029447,FIRST ALLIANCE MORTGAGE LOAN TRUST 1996-4SIC:6189- ASSET-BACKED SECURITIES,CA
0001030266,DUNN COMPUTER CORPSIC:3571- ELECTRONIC COMPUTERS,VA
0001030359,BEACH INVESTMENT COUNSEL INC /ADV,PA
0001030481,G I KEG CO,CT
0001030740,"AHL SERVICES INCSIC:7381- SERVICES-DETECTIVE, GUARD &amp; ARMORED CAR SERVICES",VA
0001031444,HALCYON EVENT DRIVEN STRATEGIES FUND LP,NY
0001031728,"GREAT AMERICAN FEDERAL SAVINGS &amp; LOAN ASSOC EMPL STK OWERSHISIC:6035- SAVINGS INSTITUTION, FEDERALLY CHARTERED",PA
0001031770,GS CAPITAL PARTNERS II OFFSHORE LP,NY
0001031792,FULCRUM DIRECT INCSIC:5961- RETAIL-CATALOG &amp; MAIL-ORDER HOUSES,NM
0001032040,PCM PARTNERS L P,NY
0001032194,THE DARCY GROUP LLCformerly: DARCY GROUP LLC                                         /BD (filings through 2002-03-12),NY
0001032562,LAND O LAKES INCSIC:2020- DAIRY PRODUCTS,MN
0001033127,VARDE FUND IV A LP,MN
0001033248,ORBIMED ADVISERS INC /CTformerly: MEHTA &amp; ISALY ASSET MANAGEMENT INC (filings through 1997-07-25),NY
0001033809,HAINES DAVID K,
0001033984,CBRE CLARION SECURITIES LLCformerly: CLARION CRA SECURITIES (filings through 2005-08-12)CRA REAL ESTATE SECURITIES LP/PA (filings through 2000-02-14)ING CLARION REAL ESTATE SECURITIES LLC (filings through 2011-05-09)ING CLARION REAL ESTATE SECURITIES/N L.P. (filings through 2009-05-13),PA
0001034016,MARK MICHAEL,
0001034326,PARK 100 INVESTORS INC,IN
0001034539,PILLAR POINT CAPITAL MANAGEMENT INC/CA,CA
0001034551,BlackRock Advisors (UK) Ltdformerly: BARCLAYS GLOBAL INVESTORS LTD (filings through 2009-11-12),X0
0001034862,EURO AMERICA II LP,CT
0001035098,GS CAPITAL PARTNERS II GERMANY CLP,NY
0001035674,PAULSON &amp; CO. INC.formerly: PAULSON &amp; CO INC (filings through 2015-02-17),NY
0001035902,GOLDMAN JAY,NJ
0001036125,TALISMAN ENERGY SWEDEN ABSIC:1382- OIL AND GAS FIELD EXPLORATION SERVICESformerly:  (filings through 1997-03-24)SANDS PETROLEUM AB (filings through 1998-01-09),V7
0001036265,VTEX ENERGY INCSIC:1311- CRUDE PETROLEUM &amp; NATURAL GASformerly: SUNBURST ACQUISITIONS II INC (filings through 1998-05-21)VECTOR ENERGY CORP /TEXAS/ (filings through 2002-11-19),TX
0001036420,HAINES DENNIS,
0001037066,CHESAPEAKE GAS DEVELOPMENT CORP,OK
0001037149,ASIA BROADCASTING &amp; COMMUNICATIONS NETWORK LTD,
0001037172,ORCHARD /JFAX INVESTORS LLC,CA
0001037189,WESTPORT FUTURES FUND L.P.SIC:6221- Unknownformerly: SMITH BARNEY WESTPORT FUTURES FUND LP (filings through 2009-09-03)WESTPORT JWH FUTURES FUND LP (filings through 2012-11-14),NY
0001037349,"THE ADVENT FUND, L.L.C.",IL
0001037698,COMMONWEALTH ASSOC INC,MI
0001038481,"FULCRUM INVESTMENT GROUP, L.L.C.formerly: FULCRUM INVESTMENT GROUP LLC                            /BD (filings through 2002-02-21)",IL
0001039001,Voya PARTNERS INCformerly: ING PARTNERS INC (filings through 2014-04-07)PORTFOLIO PARTNERS INC (filings through 2002-04-30),AZ
0001039164,WEISS DONALD,NJ
0001039198,"ARROWPOINT COMMUNICATIONS INCSIC:7370- SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",MA
0001039340,LUFKIN CHAUNCEY FSIC:6282- INVESTMENT ADVICE,CA
0001040031,G C ASSOCIATES HOLDINGS CORP,CT
0001040592,MARATHON ASSET MANAGEMENT LLPformerly: MARATHON ASSET MANAGEMENT (SERVICES) LTD (filings through 2005-04-11)MARATHON ASSET MANAGEMENT LTD/LONDON (filings through 2005-01-24),X0
0001040762,MALTESE CAPITAL MANAGEMENT LLCformerly: SANDLER ONEILL ASSET MANAGEMENT LLC (filings through 2014-11-19),NY
0001040892,VIRTUS EQUITY SERIES FUNDformerly: PHOENIX EQUITY SERIES FUND (filings through 2008-10-15),MA
0001041179,"PASSPORT BRANDS, INCSIC:2253- KNIT OUTERWEAR MILLSformerly: IC ISAACS &amp; CO INC (filings through 2008-08-19)",NY
0001041457,EUROTRUST A/SSIC:4813- TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)formerly: EURO909 COM (filings through 2000-02-17)EURO909 COM AS (filings through 2002-01-14),G7
0001041479,"Emerging Enterprise Solutions, Inc.SIC:2100- TOBACCO PRODUCTSformerly: PREMIUM CIGARS INTERNATIONAL LTD (filings through 2000-02-18)PRODUCT EXPRESS COM EBUSINESS SERVICES INC (filings through 2000-05-31)",KS
0001041627,ROUNDGRILLE INC,MA
0001041650,FIRST ALLIANCE MORTGAGE LOAN TRUST 1997 2SIC:6189- ASSET-BACKED SECURITIES,CA
0001041651,"ASIA ELECTRONICS HOLDING CO INCSIC:3679- ELECTRONIC COMPONENTS, NEC",NY
0001042138,CRESCENDO PHARMACEUTICALS CORPSIC:2834- PHARMACEUTICAL PREPARATIONS,CA
0001042218,"OLD BERLINER, INC.formerly: BERLINER COMMUNICATIONS INC (filings through 2005-02-28)",NJ
0001042418,"HedgePath Pharmaceuticals, Inc.SIC:8731- SERVICES-COMMERCIAL PHYSICAL &amp; BIOLOGICAL RESEARCHformerly: COMMONWEALTH BIOTECHNOLOGIES INC (filings through 2013-05-20)",FL
0001042720,"TREND TRADER, LLCformerly: TREND TRADER LLC                                        /BD (filings through 2002-02-28)",AZ
0001043091,FLINT HILLS MANAGED EQUITY FUND I L Pformerly: PCM MANAGED EQUITY FUND I L P (filings through 2015-04-15),MO
0001043388,G ACCION SA DE CV                                       /FI,O5
0001043827,EURO AMERICAN CAPITAL CORPORATIONformerly: EURO AMERICAN CAPITAL CORP                              /BD (filings through 2002-03-01),TX
0001043958,"OMEGA CABINETS LTDSIC:2430- MILLWOOD, VENEER, PLYWOOD &amp; STRUCTURAL WOOD MEMBERS",IA
0001044116,WEISS BERNARD L,CA
0001044207,"Newfleet Asset Management, LLCformerly: SCM ADVISORS LLC (filings through 2011-05-04)SENECA CAPITAL MANAGEMENT LLC (filings through 2006-11-13)",CA
0001045018,VIRTUS INVESTMENT TRUST 97formerly: PHOENIX INVESTMENT TRUST 97 (filings through 2008-08-05),MA
0001045161,TALISMAN CAPITAL FUND L P,AR
0001045433,SANDLER MORRIS ASIC:4731- ARRANGEMENT OF TRANSPORTATION OF FREIGHT &amp; CARGO,TX
0001045524,"OLD DOMINION SECURITIES, INC.",FL
0001045601,LIZARDTECH INC,WA
0001045986,FORMULA SYSTEMS (1985) LTDSIC:7371- SERVICES-COMPUTER PROGRAMMING SERVICESformerly: FORMULA SYSTEMS \1985\ LTD (filings through 2004-08-30),L3
0001045994,COUNTERPOINT CAPITAL MANAGEMENT LLC/NY,NY
0001046068,WESTPORT FUNDS,CT
0001046091,QUINN JEFFREY N,MO
0001046261,JASPER CONSULTING INC /MN,MN
0001046309,WEISS BRANCO,
0001047027,PHOENIX ACQUISITION CO II L L Cformerly: PHEONIX ACQUISITION CO II L L C (filings through 1997-10-10),NY
0001047177,"NINE WEST DEVELOPMENT CORPSIC:3140- FOOTWEAR, (NO RUBBER)",CT
0001047178,"NINE WEST DISTRIBUTION CORPSIC:3140- FOOTWEAR, (NO RUBBER)",CT
0001047179,"NINE WEST FOOTWEAR CORPSIC:3140- FOOTWEAR, (NO RUBBER)",CT
0001047180,"NINE WEST MANUFACTURING CORPSIC:3140- FOOTWEAR, (NO RUBBER)",CT
0001047266,GOTHAM HOLDINGS L P /IA,NY
0001047366,"BENEFIT FUNDING SERVICES, LLCformerly: BENEFIT FUNDING SERVICES LLC                            /BD (filings through 2003-08-28)",CA
0001049060,"Hawthorne Coal Co., Inc.SIC:1220- BITUMINOUS COAL &amp; LIGNITE MININGformerly: HAWTHORNE COAL CO INC (filings through 2000-02-18)",WV
0001049750,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT Fformerly: CONSECO VARIABLE ANNUITY ACCOUNT F (filings through 2003-05-01)GREAT AMERICAN RESERVE VARIABLE ANNUITY ACCOUNT F (filings through 1999-03-26)JEFFERSONNATIONAL LIFE ANNUITY ACCOUNT F (filings through 2003-07-02),KY
0001049785,QUINN GERALD I,AZ
0001049907,VARDE PARTNERS LP                                       /ADV,MN
0001049923,GOLDMAN ALAN LSIC:3540- METALWORKING MACHINERY &amp; EQUIPMENT,NY
0001050154,RCG HOLDINGS LLCformerly: RAMIUS CAPITAL GROUP LLC (filings through 2008-06-11)RAMIUS LLC (filings through 2009-11-02),NY
0001050180,"Phase Forward IncSIC:7389- SERVICES-BUSINESS SERVICES, NEC",MA
0001050459,BlackRock Asset Management Canada Ltdformerly: BARCLAYS GLOBAL INVESTORS CANADA LTD (filings through 2009-11-12),A6
0001050509,"THE FOREST ALTERNATIVE STRATEGIES FUND II, LP.formerly: FOREST ALTERNATIVE STRATEGIES FUND II LP                /BD (filings through 2003-03-03)",CT
0001050763,PINE GROVE INSTITUTIONAL PARTNERS L P,NJ
0001051191,RAM ENERGY INC/OKSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,OK
0001051347,SANDLER IRWIN L,CO
0001051411,MAST ERLE T,
0001052652,WEISS ALBRECHT /FA/SIC:3822- AUTO CONTROLS FOR REGULATING RESIDENTIAL &amp; COMML ENVIRONMENT,MN
0001052728,NORTHERN COLORADO HOLDINGS LLC,IN
0001052730,NORTHERN COLORADO RADIO INC,IN
0001052799,"IRON MOUNTAIN FULFILLMENT SERVICES, INC.SIC:4220- PUBLIC WAREHOUSING &amp; STORAGEformerly: ARCUS STAFFING RESOURCES INC (filings through 2000-05-01)COMAC INC (filings through 2009-08-06)",MA
0001052845,ROTELLA POLARIS FUND LLC,WA
0001053331,CHESAPEAKE ASSET MANAGEMENT LLC                         /ADV,NY
0001053684,VERTICAL NETWORKS INC /CA,CA
0001053873,MARATHON CAPITAL MANAGEMENT GROUP LLC,CA
0001053874,MARATHON CAPITAL PARTNERS LP,CA
0001054215,"Visium Catalyst Event Driven Fund, LPformerly: CATALYST FUND L P (filings through 2011-03-16)",NY
0001054326,GEM COMMUNICATIONS INCSIC:2721- PERIODICALS:  PUBLISHING OR PUBLISHING AND PRINTING,NY
0001054386,GEM LLC,NY
0001054387,GEM NEVADA LLC,NY
0001054424,VIRTUS PORTFOLIOSformerly: EUCLID MUTUAL FUNDS (filings through 1999-06-17)PHOENIX EUCLID FUNDS (filings through 2002-09-27)PHOENIX PORTFOLIOS (filings through 2008-09-26),NY
0001054622,ASIA CONSTRUCTION TECHNOLOGIES USA INC,UT
0001054701,SEERY GERALD B,
0001054779,PETERS CHRISTOPHER,CA
0001054846,VARDE PARTNERS INC,MN
0001054879,NOMURA ASSET MANAGEMENT U S A INC,NY
0001054985,"MKP OFFSHORE PARTNERS, LTD.formerly: MKP OFFSHORE PARTNERS LTD (filings through 2009-03-16)",L2
0001055007,HUTCHINS JAN,CA
0001055100,BERGEN CHRISTOPHER CSIC:8731- SERVICES-COMMERCIAL PHYSICAL &amp; BIOLOGICAL RESEARCH,
0001055180,QUINN BARBARA,PA
0001055478,YORK BANK &amp; TRUST CO /PA/,PA
0001055716,VERTICAL FINANCIAL HOLDINGS ESTABLISHMENTSIC:7371- SERVICES-COMPUTER PROGRAMMING SERVICES,NY
0001055951,ORBIMED ADVISORS LLC,NY
0001055964,NOMURA ASSET MANAGEMENT CO LTD,M0
0001056106,RD ARIZONA LADDER CORP,AZ
0001056830,"HOEFER &amp; ARNETT CAPITAL MANAGEMENT, INC.formerly: PINE CAPITAL MANAGEMENT INC (filings through 2004-11-05)",CA
0001056859,CHILTON CAPITAL MANAGEMENT LLCformerly: CHILTON CAPITAL MANAGEMENT L P (filings through 2007-11-19),TX
0001056880,CLARION COMMERCIAL HOLDINGS INCSIC:6798- REAL ESTATE INVESTMENT TRUSTS,NY
0001056973,CARLSON CAPITAL L P,TX
0001057162,RAM HOLDINGS II LTD/NY,D0
0001057165,RAM HOLDINGS LTD /NY,D0
0001057201,PARK AVENUE PUBLISHING INC/NY,NY
0001057451,HAWTHORNE DOUGLAS LSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,OH
0001057475,NOMURA ASSET SECURITIES CORP SERIES 1998-D6SIC:6189- ASSET-BACKED SECURITIES,NY
0001058027,STEELCLOUD INCSIC:3571- ELECTRONIC COMPUTERSformerly: DUNN COMPUTER CORP /VA/ (filings through 2001-08-08)STEELCLOUD  INC (filings through 2005-06-06),VA
0001058361,NORTHERN COLORADO HOLDINGS MANAGEMENT INC,VA
0001058623,CUMULUS MEDIA INCSIC:4832- RADIO BROADCASTING STATIONS,GA
0001058676,"MONROE CAPITAL, LLC",NY
0001058800,BEACH INVESTMENT COUNSEL INC/PA,PA
0001059187,TWIN CAPITAL MANAGEMENT INC,PA
0001059199,FULCRUM FINANCIAL ADVISORS INC                          /BD,MA
0001059242,GOLUB BENNETT,
0001059358,SSB VEHICLE SEC INC HYUNDAI AUTO RECEIVABLES TRUST 1998-ASIC:6189- ASSET-BACKED SECURITIESformerly: HYUNDAI AUTO RECEIVABLES TRUST 1998-A (filings through 1998-04-07),NY
0001060289,NORTHERN ABITIBI MINING CORP,A0
0001060345,"BENEFIT FINANCE SECURITIES, LLCformerly: BENEFIT FINANCE SECURITIES LLC                          /BD (filings through 2002-03-01)",MO
0001061096,RAAB SIMON,
0001061334,RAMIUS MULTI-STRATEGY FOF LPformerly: TAPESTRY FUND LP (filings through 2005-12-22),NY
0001061585,COMMONWEALTH CAPITAL VENTURES II LP,MA
0001061747,LAND HENRY H,
0001062244,CANYON CAPITAL ADVISORS LLC /ADV,CA
0001062711,LWWI BROADCASTING INC,RI
0001062842,BOSTON ADVISORS LLCformerly: BOSTON ADVISORS INC (filings through 2006-05-11),MA
0001062994,FORMULA GROWTH FUND,
0001062995,FORMULA UNIT TRUST,
0001063295,PREMIUM HOLDING INC,CA
0001063346,COUNTERPOINT MASTER LLC,NY
0001063391,SANDLER PAUL,CA
0001063399,"NELSONREID, INC.formerly: INTERFINANCIAL PARTNERS, INC. (filings through 2004-03-29)TIG CAPITAL SECURITIES CO                               /BD (filings through 2002-02-27)TIG CAPITAL SECURITIES CO. (filings through 2003-03-18)",TX
0001063696,CANYON CAPITAL REALTY ADVISORS LLC                      /ADV,CA
0001063946,Voya EQUITY TRUSTformerly: ING EQUITY TRUST (filings through 2014-03-28)NORTHSTAR EQUITY TRUST (filings through 1999-07-06)PILGRIM EQUITY TRUST (filings through 2002-01-15),AZ
0001064204,CHESAPEAKE ENERGY LOUISIANA CORPSIC:1381- DRILLING OIL &amp; GAS WELLS,OK
0001064213,CHESAPEAKE CANADA CORPSIC:1381- DRILLING OIL &amp; GAS WELLS,OK
0001064216,CHESAPEAKE ACQUISITION LLCSIC:1381- DRILLING OIL &amp; GAS WELLSformerly: CHESAPEAKE ACQUISITION CORP (filings through 2003-01-17),OK
0001064449,CHESAPEAKE ACQUISITIONS LTDSIC:1381- DRILLING OIL &amp; GAS WELLSformerly: SUNOMA ENERGY CORP (filings through 1998-07-29),OK
0001064451,CUMULUS BROADCASTING INC,WI
0001064454,CUMULUS LICENSING CORP,WI
0001064457,GEM RADIO FIVE LTD,WI
0001064467,GS CAPITAL PARTNERS III L Pformerly: GS CAPITAL PARTERS III L P (filings through 2004-02-13),NY
0001064715,GREAT AMERICAN KNITTING MILLS INC,NY
0001064859,LAND DEVELOPMENT INCSIC:1531- OPERATIVE BUILDERS,TX
0001065335,MONARCH BOX INC,PA
0001066024,LIM DENNISSIC:6282- INVESTMENT ADVICE,CA
0001066059,VIPC COMMUNICATIONS INCSIC:6770- BLANK CHECKSformerly: BEACH COUCH INC (filings through 2000-08-14),V8
0001066317,TREND DRILLING CO,OK
0001066602,Voya FUNDS TRUSTformerly: ING FUNDS TRUST (filings through 2014-03-28)PILGRIM FUNDS TRUST (filings through 2002-02-04),AZ
0001067694,"OMEGA CAPITAL INVESTORS, L. P.formerly: OMEGA CAPITAL INVESTORS L P (filings through 2010-03-15)",NY
0001067815,GOTHAM PARNERS III L P,NY
0001067841,PASSPORT HEALTH COMMUNICATIONS INC,TN
0001068144,NEUBERGER BERMAN INCSIC:6282- INVESTMENT ADVICE,NY
0001068210,GREAT AMERICAN COUNTRY INCSIC:7822- SERVICES-MOTION PICTURE &amp; VIDEO TAPE DISTRIBUTION,CO
0001068837,VOYA INVESTMENT MANAGEMENT LLCformerly: ING INVESTMENT MANAGEMENT LLC (filings through 2014-05-15),GA
0001068987,JANAC K CHARLES,CA
0001069232,NEUBERGER BERMAN HIGH INCOME FUND LLCformerly: LINCOLN CAPITAL HIGH YIELD BOND FUND L L C (filings through 2004-05-26)NEUBERGER BERMAN HIGH YIELD BOND FUND LLC (filings through 2010-12-01),IL
0001069653,WOLVERINE INVESTORS,IL
0001070699,UAGH INCSIC:4812- RADIO TELEPHONE COMMUNICATIONSformerly: UAXS GLOBAL HOLDINGS INC (filings through 2001-07-20)UNIVERSAL ACCESS GLOBAL HOLDINGS INC (filings through 2007-12-28)UNIVERSAL ACCESS INC (filings through 2001-04-27),CA
0001070813,SPECIALIZED PACKAGING GROUP INC,CT
0001070872,NEUBERGER BERMAN EQUITY SERIESformerly: NEUBERGER BERMAN ABC TRUST (filings through 1998-09-22),NY
0001071472,YORK CHARLES RUSSELL,IL
0001071547,"WESTPORT SECURITIES, L.L.C.",CT
0001071548,WESTPORT PARTNERS LTD                                   /BD,CT
0001071640,PARK AVENUE SECURITIES LLC,NY
0001071806,"AQUANTIVE INCSIC:7389- SERVICES-BUSINESS SERVICES, NECformerly: AVENUE A INC (filings through 2003-03-19)",WA
0001072526,MARSHALL CHRISTOPHER,
0001072856,"FOREE WILLIAM M DSIC:8090- SERVICES-MISC HEALTH &amp; ALLIED SERVICES, NEC",TN
0001073110,PERRY A MICHAEL,
0001073115,"BERGEN CAPITAL, INC.formerly: BERGEN CAPITAL INC                                      /BD (filings through 2002-03-05)",NJ
0001073715,JATO COMMUNICATIONS CORPSIC:4813- TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),CO
0001074034,CANYON CAPITAL ADVISORS LLC,CA
0001074396,BAYVIEW CAPITAL PARTNERS LP,MN
